dataset,road_proxy,omit_fraction,segments_per_driver,road_network_segments,target_detection_probability,required_coverage_fraction,required_cameras_spotcheck,required_cameras_tsip_ruc,cameras_per_km_road,cameras_per_km2,observed_road_km,tariff_area_km2
rome,observed_path_proxy_generous,0.05,24,196,0.95,1.0,196,0,4.096048149463961,76.56249999999999,47.851000000000006,2.5600000000000005
rome,observed_path_proxy_generous,0.1,24,196,0.95,1.0,196,0,4.096048149463961,76.56249999999999,47.851000000000006,2.5600000000000005
rome,observed_path_proxy_generous,0.2,24,196,0.95,0.6241108903237478,123,0,2.5704791958370774,48.04687499999999,47.851000000000006,2.5600000000000005
rome,tariff_grid_proxy_context,0.05,24,480,0.95,1.0,480,0,10.031138325217862,187.49999999999997,47.851000000000006,2.5600000000000005
rome,tariff_grid_proxy_context,0.1,24,480,0.95,1.0,480,0,10.031138325217862,187.49999999999997,47.851000000000006,2.5600000000000005
rome,tariff_grid_proxy_context,0.2,24,480,0.95,0.6241108903237478,300,0,6.269461453261164,117.18749999999997,47.851000000000006,2.5600000000000005
porto,observed_path_proxy_generous,0.05,24,42,0.95,1.0,42,0,4.707464694014795,16.406249999999996,8.922,2.5600000000000005
porto,observed_path_proxy_generous,0.1,24,42,0.95,1.0,42,0,4.707464694014795,16.406249999999996,8.922,2.5600000000000005
porto,observed_path_proxy_generous,0.2,24,42,0.95,0.6241108903237478,27,0,3.026227303295225,10.546874999999998,8.922,2.5600000000000005
porto,tariff_grid_proxy_context,0.05,24,480,0.95,1.0,480,0,53.79959650302622,187.49999999999997,8.922,2.5600000000000005
porto,tariff_grid_proxy_context,0.1,24,480,0.95,1.0,480,0,53.79959650302622,187.49999999999997,8.922,2.5600000000000005
porto,tariff_grid_proxy_context,0.2,24,480,0.95,0.6241108903237478,300,0,33.62474781439139,117.18749999999997,8.922,2.5600000000000005
tdrive,observed_path_proxy_generous,0.05,24,1,0.95,1.0,1,0,2.2988505747126435,0.09765624999999999,0.435,10.240000000000002
tdrive,observed_path_proxy_generous,0.1,24,1,0.95,1.0,1,0,2.2988505747126435,0.09765624999999999,0.435,10.240000000000002
tdrive,observed_path_proxy_generous,0.2,24,1,0.95,0.6241108903237478,1,0,2.2988505747126435,0.09765624999999999,0.435,10.240000000000002
tdrive,tariff_grid_proxy_context,0.05,24,1984,0.95,1.0,1984,0,4560.919540229885,193.74999999999997,0.435,10.240000000000002
tdrive,tariff_grid_proxy_context,0.1,24,1984,0.95,1.0,1984,0,4560.919540229885,193.74999999999997,0.435,10.240000000000002
tdrive,tariff_grid_proxy_context,0.2,24,1984,0.95,0.6241108903237478,1239,0,2848.2758620689656,120.99609374999997,0.435,10.240000000000002
